,Name,Club,Nationality,Age,Overall,Height,Weight,Position,Preferred Foot,Value,Wage,Acceleration,Finishing,Vision,BallControl,Dribbling,Strength
26,M. Salah,Liverpool,Egypt,26,88,175.26,157,RM,Left,69500000.0,255000,94.0,90.0,82.0,88.0,89.0,70.0
27,Casemiro,Real Madrid,Brazil,26,88,185.42,185,CDM,Right,59500000.0,285000,59.0,59.0,77.0,78.0,69.0,89.0
28,J. Rodríguez,FC Bayern München,Colombia,26,88,180.34,172,LAM,Left,69500000.0,315000,73.0,83.0,89.0,90.0,85.0,68.0
29,L. Insigne,Napoli,Italy,27,88,162.56,130,LW,Right,62000000.0,165000,94.0,77.0,87.0,93.0,90.0,44.0
30,Isco,Real Madrid,Spain,26,88,175.26,174,LW,Right,73500000.0,315000,75.0,79.0,89.0,95.0,94.0,59.0
31,C. Eriksen,Tottenham Hotspur,Denmark,26,88,180.34,168,CAM,Right,73500000.0,205000,75.0,80.0,91.0,91.0,84.0,58.0
32,Coutinho,FC Barcelona,Brazil,26,88,172.72,150,LW,Right,69500000.0,340000,89.0,79.0,90.0,92.0,91.0,61.0
33,P. Aubameyang,Arsenal,Gabon,29,88,187.96,176,LM,Right,59000000.0,265000,93.0,88.0,77.0,82.0,79.0,76.0
34,M. Hummels,FC Bayern München,Germany,29,88,190.5,203,LCB,Right,46000000.0,160000,53.0,55.0,79.0,81.0,68.0,84.0
35,Marcelo,Real Madrid,Brazil,30,88,175.26,176,LB,Left,43000000.0,285000,83.0,70.0,82.0,92.0,90.0,78.0
36,G. Bale,Real Madrid,Wales,28,88,185.42,181,ST,Left,60000000.0,355000,94.0,86.0,79.0,85.0,87.0,80.0
37,H. Lloris,Tottenham Hotspur,France,31,88,187.96,181,GK,Left,36000000.0,150000,65.0,10.0,30.0,34.0,10.0,43.0
38,G. Higuaín,Milan,Argentina,30,88,185.42,196,LS,Right,57000000.0,245000,73.0,92.0,74.0,85.0,84.0,85.0
39,Thiago Silva,Paris Saint-Germain,Brazil,33,88,182.88,181,RCB,Right,24000000.0,165000,70.0,38.0,72.0,80.0,62.0,82.0
40,S. Handanovič,Inter,Slovenia,33,88,193.04,203,GK,Right,30000000.0,110000,51.0,10.0,41.0,16.0,12.0,71.0
41,G. Buffon,Paris Saint-Germain,Italy,40,88,193.04,203,GK,Right,4000000.0,77000,49.0,15.0,50.0,28.0,26.0,69.0
42,S. Umtiti,FC Barcelona,France,24,87,182.88,165,CB,Left,57000000.0,205000,71.0,51.0,58.0,77.0,69.0,84.0
43,M. Icardi,Inter,Argentina,25,87,180.34,165,ST,Right,64500000.0,130000,77.0,91.0,64.0,81.0,77.0,76.0
44,K. Koulibaly,Napoli,Senegal,27,87,187.96,196,LCB,Right,51000000.0,115000,68.0,19.0,43.0,60.0,66.0,94.0
45,P. Pogba,Manchester United,France,25,87,193.04,185,RDM,Right,64000000.0,210000,71.0,73.0,87.0,90.0,87.0,89.0
46,K. Navas,Real Madrid,Costa Rica,31,87,185.42,176,GK,Right,30500000.0,195000,54.0,15.0,68.0,19.0,16.0,75.0
47,R. Lukaku,Manchester United,Belgium,25,87,190.5,207,ST,Left,62500000.0,230000,77.0,87.0,76.0,72.0,80.0,94.0
48,C. Immobile,Lazio,Italy,28,87,185.42,187,ST,Right,52000000.0,115000,78.0,90.0,65.0,83.0,83.0,76.0
49,Jordi Alba,FC Barcelona,Spain,29,87,170.18,150,LB,Left,38000000.0,250000,93.0,73.0,70.0,84.0,80.0,61.0
50,D. Mertens,Napoli,Belgium,31,87,170.18,134,RF,Right,45000000.0,135000,93.0,86.0,83.0,89.0,91.0,42.0
51,J. Vertonghen,Tottenham Hotspur,Belgium,31,87,187.96,190,LCB,Left,34000000.0,155000,61.0,56.0,68.0,76.0,71.0,79.0
52,M. Hamšík,Napoli,Slovakia,30,87,182.88,174,LCM,Right,46500000.0,125000,69.0,79.0,86.0,87.0,86.0,67.0
53,I. Rakitić,FC Barcelona,Croatia,30,87,182.88,172,RCM,Right,46500000.0,260000,66.0,83.0,86.0,87.0,84.0,66.0
54,Piqué,FC Barcelona,Spain,31,87,193.04,187,RCB,Right,34000000.0,240000,49.0,64.0,62.0,78.0,59.0,83.0
55,L. Sané,Manchester City,Germany,22,86,182.88,165,LW,Left,61000000.0,195000,93.0,81.0,82.0,85.0,88.0,70.0
56,Bernardo Silva,Manchester City,Portugal,23,86,172.72,141,RW,Left,59500000.0,180000,84.0,75.0,86.0,91.0,92.0,48.0
57,Ederson,Manchester City,Brazil,24,86,187.96,190,GK,Left,41500000.0,125000,64.0,14.0,67.0,37.0,23.0,68.0
58,S. Mané,Liverpool,Senegal,26,86,175.26,152,LM,Right,52000000.0,195000,95.0,84.0,82.0,86.0,87.0,67.0
59,V. van Dijk,Liverpool,Netherlands,26,86,193.04,203,LCB,Right,44500000.0,165000,74.0,52.0,59.0,73.0,70.0,92.0
60,R. Sterling,Manchester City,England,23,86,170.18,152,RW,Right,56500000.0,195000,95.0,77.0,77.0,87.0,88.0,52.0
61,Roberto Firmino,Liverpool,Brazil,26,86,180.34,168,CAM,Right,53000000.0,195000,78.0,87.0,85.0,88.0,87.0,74.0
62,R. Varane,Real Madrid,France,25,86,190.5,179,RCB,Right,50000000.0,210000,83.0,40.0,56.0,77.0,57.0,84.0
63,M. Verratti,Paris Saint-Germain,Italy,25,86,165.1,132,LCM,Right,55000000.0,135000,69.0,60.0,87.0,88.0,90.0,52.0
64,Alex Sandro,Juventus,Brazil,27,86,180.34,176,LB,Left,36500000.0,160000,83.0,55.0,70.0,81.0,80.0,79.0
65,Douglas Costa,Juventus,Brazil,27,86,172.72,154,LM,Left,46500000.0,175000,97.0,67.0,84.0,91.0,92.0,63.0
66,T. Müller,FC Bayern München,Germany,28,86,185.42,165,CAM,Right,45000000.0,135000,73.0,87.0,85.0,82.0,75.0,68.0
67,Thiago,FC Bayern München,Spain,27,86,175.26,154,CM,Right,45500000.0,130000,78.0,69.0,86.0,90.0,90.0,59.0
68,M. Reus,Borussia Dortmund,Germany,29,86,180.34,157,LM,Right,43500000.0,100000,86.0,87.0,86.0,86.0,87.0,67.0
69,Azpilicueta,Chelsea,Spain,28,86,177.8,168,RB,Right,35000000.0,175000,76.0,46.0,74.0,77.0,69.0,71.0
70,L. Bonucci,Juventus,Italy,31,86,190.5,187,RCB,Right,30000000.0,160000,57.0,48.0,74.0,75.0,69.0,83.0
71,T. Alderweireld,Tottenham Hotspur,Belgium,29,86,185.42,179,RCB,Right,39000000.0,150000,61.0,45.0,67.0,74.0,62.0,79.0
72,M. Pjanić,Juventus,Bosnia Herzegovina,28,86,177.8,159,CDM,Right,44000000.0,180000,66.0,60.0,88.0,89.0,86.0,66.0
73,M. Benatia,Juventus,Morocco,31,86,187.96,207,CB,Right,30000000.0,160000,65.0,47.0,47.0,64.0,64.0,91.0
74,M. Özil,Arsenal,Germany,29,86,180.34,168,CAM,Left,43500000.0,190000,72.0,73.0,91.0,90.0,84.0,57.0
75,Fernandinho,Manchester City,Brazil,33,86,177.8,148,CDM,Right,18000000.0,185000,68.0,69.0,75.0,82.0,77.0,76.0
76,Iniesta,Vissel Kobe,Spain,34,86,170.18,150,LF,Right,21500000.0,21000,70.0,70.0,93.0,92.0,90.0,58.0
77,M. Škriniar,Inter,Slovakia,23,85,187.96,176,LCB,Right,46500000.0,82000,70.0,42.0,57.0,67.0,59.0,83.0
78,S. Milinković-Savić,Lazio,Serbia,23,85,190.5,168,CM,Right,50500000.0,73000,68.0,80.0,85.0,87.0,86.0,88.0
79,Marco Asensio,Real Madrid,Spain,22,85,182.88,168,RW,Left,54000000.0,215000,85.0,82.0,84.0,85.0,86.0,61.0
80,N. Fekir,Olympique Lyonnais,France,24,85,172.72,165,CAM,Left,50000000.0,92000,79.0,82.0,81.0,89.0,90.0,82.0
81,Alisson,Liverpool,Brazil,25,85,190.5,201,GK,Right,36500000.0,115000,54.0,13.0,66.0,30.0,27.0,78.0
82,J. Kimmich,FC Bayern München,Germany,23,85,175.26,154,RCM,Right,40500000.0,92000,78.0,66.0,79.0,85.0,80.0,65.0
83,Saúl,Atlético Madrid,Spain,23,85,182.88,170,RCM,Left,50500000.0,77000,74.0,78.0,82.0,85.0,83.0,77.0
84,R. Mahrez,Manchester City,Algeria,27,85,177.8,148,RW,Left,40500000.0,205000,88.0,80.0,81.0,90.0,91.0,54.0
85,D. Alaba,FC Bayern München,Austria,26,85,180.34,168,LB,Left,38000000.0,110000,79.0,63.0,77.0,83.0,79.0,71.0
86,Koke,Atlético Madrid,Spain,26,85,175.26,163,LM,Right,45000000.0,88000,71.0,72.0,87.0,86.0,82.0,79.0
87,A. Lacazette,Arsenal,France,27,85,175.26,161,ST,Right,45000000.0,180000,81.0,88.0,76.0,83.0,85.0,73.0
88,K. Manolas,Roma,Greece,27,85,187.96,183,LCB,Right,37500000.0,96000,80.0,10.0,22.0,65.0,54.0,82.0
89,N. Otamendi,Manchester City,Argentina,30,85,182.88,179,CB,Right,28500000.0,170000,57.0,54.0,53.0,70.0,51.0,80.0
90,Parejo,Valencia CF,Spain,29,85,182.88,163,RCM,Right,37000000.0,66000,51.0,79.0,86.0,84.0,78.0,72.0
91,Paulinho,Guangzhou Evergrande Taobao FC,Brazil,29,85,182.88,157,LDM,Right,37000000.0,235000,73.0,81.0,78.0,84.0,82.0,81.0
92,W. Szczęsny,Juventus,Poland,28,85,195.57999999999998,198,GK,Right,32000000.0,125000,51.0,12.0,48.0,22.0,11.0,65.0
93,A. Sánchez,Manchester United,Chile,29,85,170.18,163,RW,Right,37500000.0,215000,86.0,80.0,82.0,86.0,87.0,72.0
94,Y. Brahimi,FC Porto,Algeria,28,85,175.26,146,LM,Right,39000000.0,28000,87.0,76.0,79.0,86.0,93.0,49.0
95,J. Boateng,FC Bayern München,Germany,29,85,193.04,198,RCB,Right,30000000.0,115000,67.0,34.0,75.0,70.0,64.0,91.0
96,A. Vidal,FC Barcelona,Chile,31,85,180.34,165,CAM,Right,26000000.0,205000,60.0,75.0,80.0,82.0,76.0,79.0
97,I. Perišić,Inter,Croatia,29,85,185.42,176,LM,Right,37500000.0,110000,84.0,79.0,79.0,85.0,84.0,78.0
98,E. Džeko,Roma,Bosnia Herzegovina,32,85,193.04,185,ST,Right,30500000.0,115000,65.0,89.0,74.0,84.0,76.0,80.0
99,S. Khedira,Juventus,Germany,31,85,187.96,198,RCM,Right,33000000.0,160000,54.0,72.0,82.0,84.0,81.0,87.0
100,Diego Costa,Atlético Madrid,Spain,29,85,187.96,190,LS,Right,38500000.0,100000,74.0,87.0,74.0,83.0,77.0,92.0
101,R. Nainggolan,Inter,Belgium,30,85,175.26,170,CAM,Right,35500000.0,105000,78.0,75.0,76.0,85.0,80.0,77.0
102,Naldo,FC Schalke 04,Brazil,35,85,198.12,201,CB,Right,9000000.0,38000,60.0,57.0,59.0,68.0,60.0,83.0
103,B. Matuidi,Juventus,France,31,85,180.34,165,LM,Left,26000000.0,145000,79.0,64.0,76.0,79.0,78.0,76.0
104,Miranda,Inter,Brazil,33,85,185.42,172,CB,Right,15500000.0,96000,66.0,43.0,58.0,73.0,67.0,79.0
105,K. Benzema,Real Madrid,France,30,85,185.42,179,ST,Right,37000000.0,240000,76.0,81.0,85.0,86.0,83.0,80.0
106,Filipe Luís,Atlético Madrid,Brazil,32,85,182.88,163,LB,Left,21500000.0,81000,76.0,59.0,70.0,83.0,77.0,74.0
107,V. Kompany,Manchester City,Belgium,32,85,190.5,187,CB,Right,22000000.0,170000,52.0,45.0,59.0,70.0,63.0,87.0
108,Pepe,Beşiktaş JK,Portugal,35,85,187.96,179,RCB,Right,9000000.0,57000,65.0,46.0,48.0,62.0,58.0,86.0
109,Z. Ibrahimović,LA Galaxy,Sweden,36,85,195.57999999999998,209,RS,Right,14000000.0,15000,58.0,86.0,79.0,84.0,79.0,86.0
110,D. Sánchez,Tottenham Hotspur,Colombia,22,84,187.96,174,RCB,Right,34000000.0,105000,72.0,40.0,49.0,73.0,63.0,83.0
111,J. Giménez,Atlético Madrid,Uruguay,23,84,185.42,176,RCB,Right,34000000.0,63000,69.0,37.0,27.0,56.0,47.0,85.0
112,Alex Telles,FC Porto,Brazil,25,84,180.34,157,LB,Left,32000000.0,22000,84.0,65.0,74.0,82.0,82.0,68.0
113,A. Laporte,Manchester City,France,24,84,187.96,187,LCB,Left,34000000.0,135000,62.0,45.0,57.0,73.0,59.0,82.0
114,Bruno Fernandes,Sporting CP,Portugal,23,84,177.8,152,LCM,Right,40500000.0,22000,79.0,73.0,86.0,85.0,83.0,67.0
115,N. Süle,FC Bayern München,Germany,22,84,195.57999999999998,214,CB,Right,36500000.0,84000,52.0,20.0,30.0,63.0,42.0,94.0
116,A. Martial,Manchester United,France,22,84,182.88,168,LW,Right,42500000.0,165000,88.0,84.0,73.0,86.0,87.0,75.0
117,D. Alli,Tottenham Hotspur,England,22,84,187.96,176,LCM,Right,42500000.0,115000,73.0,83.0,85.0,85.0,83.0,71.0
118,Fabinho,Liverpool,Brazil,24,84,187.96,172,CDM,Right,34000000.0,120000,69.0,66.0,75.0,82.0,76.0,79.0
119,Marquinhos,Paris Saint-Germain,Brazil,24,84,182.88,165,LDM,Right,35500000.0,90000,73.0,33.0,51.0,76.0,59.0,74.0
120,William Carvalho,Real Betis,Portugal,26,84,187.96,183,CDM,Right,31500000.0,38000,49.0,52.0,83.0,79.0,80.0,90.0
121,Jorginho,Chelsea,Italy,26,84,180.34,148,CM,Right,38000000.0,155000,75.0,57.0,87.0,85.0,82.0,66.0
122,F. Thauvin,Olympique de Marseille,France,25,84,177.8,154,RM,Left,39000000.0,72000,87.0,81.0,80.0,86.0,85.0,66.0
123,Carvajal,Real Madrid,Spain,26,84,172.72,161,RB,Right,31500000.0,185000,79.0,41.0,57.0,83.0,76.0,74.0
124,M. Depay,Olympique Lyonnais,Netherlands,24,84,175.26,172,ST,Right,42000000.0,93000,87.0,79.0,82.0,85.0,85.0,80.0
125,H. Son,Tottenham Hotspur,Korea Republic,25,84,182.88,143,LM,Right,37000000.0,125000,88.0,85.0,80.0,85.0,88.0,63.0
126,A. Lopes,Olympique Lyonnais,Portugal,27,84,182.88,179,GK,Left,25000000.0,72000,63.0,18.0,48.0,21.0,15.0,73.0
127,S. de Vrij,Inter,Netherlands,26,84,187.96,172,CB,Right,31500000.0,88000,67.0,25.0,59.0,71.0,63.0,80.0
128,M. Perin,Juventus,Italy,25,84,187.96,170,GK,Right,29500000.0,105000,57.0,11.0,44.0,23.0,19.0,52.0
129,J. Cuadrado,Juventus,Colombia,30,84,177.8,159,RAM,Right,29500000.0,150000,89.0,67.0,76.0,85.0,90.0,61.0
130,Iago Aspas,RC Celta,Spain,30,84,175.26,148,ST,Left,30000000.0,45000,85.0,88.0,75.0,85.0,86.0,60.0
131,B. Leno,Arsenal,Germany,26,84,190.5,183,GK,Right,27000000.0,115000,46.0,9.0,54.0,22.0,16.0,68.0
132,N. Matić,Manchester United,Serbia,29,84,193.04,187,CDM,Left,24000000.0,165000,52.0,64.0,73.0,79.0,80.0,85.0
133,L. Hrádecký,Bayer 04 Leverkusen,Finland,28,84,193.04,187,GK,Right,22000000.0,74000,38.0,11.0,53.0,20.0,10.0,55.0
134,Illarramendi,Real Sociedad,Spain,28,84,177.8,165,RDM,Right,31000000.0,51000,66.0,72.0,86.0,83.0,78.0,68.0
135,K. Walker,Manchester City,England,28,84,182.88,154,RB,Right,24500000.0,165000,86.0,51.0,69.0,78.0,79.0,75.0
136,I. Gündoğan,Manchester City,Germany,27,84,180.34,176,CM,Right,32000000.0,175000,67.0,73.0,86.0,86.0,85.0,72.0
137,José Callejón,Napoli,Spain,31,84,177.8,161,RM,Right,27500000.0,105000,88.0,78.0,78.0,85.0,82.0,55.0
138,A. Di María,Paris Saint-Germain,Argentina,30,84,180.34,152,RM,Left,29500000.0,125000,85.0,72.0,82.0,85.0,86.0,60.0
139,M. Mandžukić,Juventus,Croatia,32,84,190.5,187,ST,Right,25000000.0,160000,67.0,84.0,74.0,77.0,76.0,85.0
140,Willian,Chelsea,Brazil,29,84,175.26,172,RW,Right,30500000.0,175000,91.0,77.0,83.0,84.0,88.0,60.0
141,Sergio Asenjo,Villarreal CF,Spain,29,84,187.96,192,GK,Right,24000000.0,42000,59.0,14.0,46.0,14.0,15.0,73.0
142,E. Banega,Sevilla FC,Argentina,30,84,175.26,157,CDM,Right,29000000.0,31000,68.0,66.0,88.0,86.0,84.0,67.0
143,A. Witsel,Borussia Dortmund,Belgium,29,84,187.96,179,LCM,Right,24000000.0,77000,67.0,71.0,79.0,84.0,78.0,82.0
144,D. Payet,Olympique de Marseille,France,31,84,175.26,170,CAM,Right,27500000.0,75000,75.0,78.0,87.0,90.0,86.0,72.0
145,Jonas,SL Benfica,Brazil,34,84,180.34,163,ST,Right,16500000.0,25000,65.0,88.0,83.0,88.0,84.0,63.0
146,Sokratis,Arsenal,Greece,30,84,185.42,187,RCB,Right,23000000.0,140000,64.0,44.0,45.0,58.0,58.0,86.0
147,S. Ruffier,AS Saint-Étienne,France,31,84,187.96,205,GK,Right,19000000.0,41000,45.0,11.0,49.0,15.0,12.0,76.0
148,Falcao,AS Monaco,Colombia,32,84,177.8,159,RS,Right,25000000.0,115000,69.0,86.0,70.0,82.0,75.0,75.0
149,K. Schmeichel,Leicester City,Denmark,31,84,187.96,196,GK,Right,19000000.0,78000,59.0,12.0,59.0,40.0,12.0,64.0
150,Raúl Albiol,Napoli,Spain,32,84,190.5,181,RCB,Right,18000000.0,88000,54.0,27.0,57.0,71.0,59.0,82.0
151,A. Gómez,Atalanta,Argentina,30,84,165.1,150,LS,Right,30000000.0,53000,94.0,76.0,85.0,87.0,89.0,48.0
152,A. Barzagli,Juventus,Italy,37,84,187.96,192,CB,Right,4200000.0,95000,61.0,21.0,62.0,65.0,64.0,83.0
153,Quaresma,Beşiktaş JK,Portugal,34,84,175.26,148,RM,Right,15500000.0,80000,84.0,67.0,84.0,88.0,89.0,55.0
154,A. Robben,FC Bayern München,Netherlands,34,84,180.34,176,RM,Left,15500000.0,110000,83.0,85.0,80.0,88.0,89.0,67.0
155,O. Dembélé,FC Barcelona,France,21,83,177.8,148,RW,Left,40000000.0,155000,93.0,78.0,84.0,83.0,90.0,46.0
156,Gabriel Jesus,Manchester City,Brazil,21,83,175.26,161,ST,Right,41000000.0,130000,87.0,84.0,77.0,85.0,86.0,68.0
157,Ronaldo Cabrais,Grêmio,Brazil,26,83,177.8,165,RW,Right,28000000.0,51000,88.0,74.0,83.0,83.0,85.0,70.0
158,Josué Chiamulera,Grêmio,Brazil,26,83,185.42,176,LCB,Right,22500000.0,43000,83.0,38.0,42.0,70.0,56.0,73.0
159,Louri Beretta,Atlético Mineiro,Brazil,26,83,187.96,183,ST,Right,28500000.0,60000,79.0,85.0,58.0,74.0,75.0,87.0
160,P. Kimpembe,Paris Saint-Germain,France,22,83,187.96,176,LCB,Left,30500000.0,82000,75.0,31.0,60.0,78.0,58.0,84.0
161,N. Keïta,Liverpool,Guinea,23,83,172.72,141,CM,Right,34000000.0,120000,78.0,74.0,81.0,88.0,88.0,58.0
162,C. Tolisso,FC Bayern München,France,23,83,180.34,179,CM,Right,34000000.0,85000,75.0,75.0,80.0,81.0,77.0,77.0
163,T. Lemar,Atlético Madrid,France,22,83,170.18,137,LM,Left,35500000.0,64000,86.0,75.0,85.0,86.0,85.0,63.0
164,K. Coman,FC Bayern München,France,22,83,177.8,157,LM,Right,34000000.0,85000,95.0,76.0,75.0,83.0,88.0,61.0
165,J. Tah,Bayer 04 Leverkusen,Germany,22,83,195.57999999999998,214,CB,Right,29500000.0,67000,64.0,20.0,61.0,64.0,55.0,93.0
166,Anderson Talisca,Guangzhou Evergrande Taobao FC,Brazil,24,83,190.5,176,CAM,Left,36500000.0,18000,77.0,80.0,81.0,84.0,82.0,72.0
167,T. Werner,RB Leipzig,Germany,22,83,180.34,165,RW,Right,34500000.0,70000,93.0,87.0,61.0,84.0,83.0,59.0
168,A. Rabiot,Paris Saint-Germain,France,23,83,193.04,176,CM,Left,33000000.0,91000,73.0,69.0,80.0,83.0,79.0,80.0
169,L. Goretzka,FC Bayern München,Germany,23,83,187.96,174,CM,Right,34000000.0,85000,84.0,72.0,82.0,83.0,81.0,70.0
170,Q. Promes,Sevilla FC,Netherlands,26,83,175.26,159,RM,Right,30500000.0,28000,90.0,86.0,81.0,82.0,84.0,61.0
171,H. Ziyech,Ajax,Morocco,25,83,180.34,143,RAM,Left,32500000.0,28000,76.0,68.0,88.0,83.0,83.0,59.0
172,Lucas Vázquez,Real Madrid,Spain,27,83,172.72,154,RW,Right,27000000.0,205000,84.0,73.0,83.0,83.0,82.0,57.0
173,Y. Carrasco,Dalian YiFang FC,Belgium,24,83,180.34,161,LM,Right,33000000.0,20000,89.0,79.0,71.0,87.0,88.0,59.0
174,Gerard Moreno,Villarreal CF,Spain,26,83,180.34,170,LS,Left,32000000.0,53000,77.0,83.0,58.0,81.0,78.0,74.0
175,Felipe,FC Porto,Brazil,29,83,190.5,190,RCB,Right,20000000.0,22000,60.0,39.0,50.0,62.0,57.0,86.0
176,M. Kovačić,Chelsea,Croatia,24,83,175.26,172,LCM,Right,35000000.0,165000,84.0,62.0,88.0,89.0,88.0,65.0
177,Kepa,Chelsea,Spain,23,83,185.42,187,GK,Right,28500000.0,84000,34.0,11.0,55.0,16.0,10.0,51.0
178,Manu Trigueros,Villarreal CF,Spain,26,83,177.8,165,RCM,Right,30000000.0,49000,68.0,71.0,84.0,83.0,80.0,63.0
179,S. Gnabry,FC Bayern München,Germany,22,83,175.26,165,ST,Right,34500000.0,85000,92.0,81.0,74.0,83.0,87.0,68.0
180,J. Pickford,Everton,England,24,83,185.42,170,GK,Left,25000000.0,78000,53.0,19.0,68.0,40.0,14.0,70.0
181,S. Savić,Atlético Madrid,Montenegro,27,83,187.96,174,CB,Right,26000000.0,67000,55.0,34.0,41.0,68.0,47.0,77.0
182,J. Stones,Manchester City,England,24,83,187.96,154,RCB,Right,28500000.0,125000,67.0,29.0,67.0,80.0,69.0,77.0
183,Suso,Milan,Spain,24,83,175.26,154,RW,Left,33000000.0,115000,83.0,70.0,84.0,89.0,88.0,56.0
184,J. Draxler,Paris Saint-Germain,Germany,24,83,187.96,170,CM,Right,32500000.0,91000,78.0,78.0,84.0,89.0,88.0,66.0
185,Felipe Anderson,West Ham United,Brazil,25,83,175.26,154,LM,Right,31500000.0,110000,93.0,71.0,79.0,88.0,90.0,53.0
186,Lucas Moura,Tottenham Hotspur,Brazil,25,83,175.26,154,RM,Right,31000000.0,115000,94.0,78.0,74.0,81.0,88.0,59.0
187,Danilo Pereira,FC Porto,Portugal,26,83,187.96,183,CDM,Right,27000000.0,21000,63.0,61.0,73.0,78.0,76.0,89.0
188,Nacho Fernández,Real Madrid,Spain,28,83,180.34,168,CB,Right,24500000.0,180000,70.0,32.0,53.0,78.0,55.0,79.0
189,T. Horn,1. FC Köln,Germany,25,83,193.04,198,GK,Left,24000000.0,25000,45.0,13.0,55.0,22.0,20.0,67.0
190,Allan,Napoli,Brazil,27,83,175.26,163,RCM,Right,26500000.0,87000,81.0,72.0,79.0,80.0,82.0,77.0
191,F. Acerbi,Lazio,Italy,30,83,193.04,194,CB,Left,19000000.0,64000,65.0,37.0,65.0,72.0,65.0,83.0
192,Sergi Roberto,FC Barcelona,Spain,26,83,177.8,150,RB,Right,26500000.0,170000,78.0,63.0,83.0,83.0,78.0,69.0
193,Rodrigo,Valencia CF,Spain,27,83,182.88,170,ST,Left,30500000.0,57000,88.0,78.0,74.0,82.0,82.0,72.0
194,Pizzi,SL Benfica,Portugal,28,83,177.8,159,LCM,Right,25500000.0,22000,82.0,76.0,85.0,82.0,80.0,59.0
195,K. Kampl,RB Leipzig,Slovenia,27,83,177.8,148,LCM,Right,26500000.0,74000,84.0,63.0,82.0,84.0,86.0,47.0
